GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1109544325,20230618,202306,2023,2023.4603,RUS,RUSSIA,RUS,,,,,,,,SENLEG,SENEGAL,SEN,,,,,LEG,,,1,46,46,4,1,7.0,1,1,1,-1.83150183150183,4,"Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,1,Senegal,SG,SG,,14.0,-14.0,SG,1,Senegal,SG,SG,,14.0,-14.0,SG,20230618003000,https://www.ndtv.com/world-news/vladimir-putin-rebuts-key-elements-of-african-leaders-peace-plan-for-ukraine-war-4130549
1109544423,20230618,202306,2023,2023.4603,SENLEG,SENEGAL,SEN,,,,,LEG,,,RUS,RUSSIA,RUS,,,,,,,,1,46,46,4,1,7.0,1,1,1,-1.83150183150183,1,Senegal,SG,SG,,14.0,-14.0,SG,4,"Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,1,Senegal,SG,SG,,14.0,-14.0,SG,20230618003000,https://www.ndtv.com/world-news/vladimir-putin-rebuts-key-elements-of-african-leaders-peace-plan-for-ukraine-war-4130549
1109677156,20230619,202306,2023,2023.463,AFR,AFRICA,AFR,,,,,,,,,,,,,,,,,,1,20,20,2,1,3.0,3,1,3,-5.92592592592593,4,"Kremlin, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,0,,,,,,,,1,Senegal,SG,SG,,14.0,-14.0,SG,20230619003000,https://www.thetimes.co.uk/article/putin-rejects-african-peace-plan-for-ukraine-war-rx6x2lz5w
1158788673,20240220,202402,2024,2024.137,USAMED,ASSOCIATED PRESS,USA,,,,,MED,,,UGA,UGANDA,UGA,,,,,,,,0,70,70,7,2,7.0,1,1,1,-8.13287514318446,1,Russia,RS,RS,,60.0,100.0,RS,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,4,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,20240220003000,https://www.greenfieldreporter.com/2024/02/19/whats-happening-in-eastern-congo-and-why-aid-groups-are-warning-of-a-new-humanitarian-crisis/
1105058691,20230527,202305,2023,2023.4027,RUS,RUSSIAN,RUS,,,,,,,,SOMGOV,SOMALIA,SOM,,,,,GOV,,,0,40,40,4,1,1.0,1,1,1,-2.68595041322315,4,"Somaliland, Somalia (general), Somalia",SO,SO00,25720,9.0,46.0,11432102,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Somaliland, Somalia (general), Somalia",SO,SO00,25720.0,9.0,46.0,11432102,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058709,20230527,202305,2023,2023.4027,RUSMIL,RUSSIA,RUS,,,,,MIL,,,BUS,TANKER,,,,,,BUS,,,0,73,73,7,2,7.4,1,1,1,-2.68595041322315,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691,2.06667,45.3667,-3227437,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691.0,2.06667,45.3667,-3227437,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058718,20230527,202305,2023,2023.4027,SOM,SOMALIA,SOM,,,,,,,,BUS,TANKER,,,,,,BUS,,,0,73,73,7,2,7.4,1,1,1,-2.68595041322315,4,"Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691.0,2.06667,45.3667,-3227437,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058721,20230527,202305,2023,2023.4027,SOM,SOMALIA,SOM,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,0,111,111,11,3,-2.0,1,1,1,-2.68595041322315,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691,2.06667,45.3667,-3227437,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691.0,2.06667,45.3667,-3227437,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058722,20230527,202305,2023,2023.4027,SOM,SOMALIA,SOM,,,,,,,,RUSMIL,RUSSIAN,RUS,,,,,MIL,,,0,111,111,11,3,-2.0,6,1,6,-2.68595041322315,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691,2.06667,45.3667,-3227437,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Mogadishu, Banaadir, Somalia",SO,SO02,25691.0,2.06667,45.3667,-3227437,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058723,20230527,202305,2023,2023.4027,SOMCOP,SOMALIA,SOM,,,,,COP,,,UAF,MILITANT,,,,,,UAF,,,1,72,72,7,2,8.3,8,1,8,-2.68595041322315,4,"Shabelle, Bay, Somalia",SO,SO04,25670,2.19037,42.8761,-3229145,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Shabelle, Bay, Somalia",SO,SO04,25670.0,2.19037,42.8761,-3229145,20230527003000,https://www.voazimbabwe.com/a/7111215.html
